FECHA;StateHoliday;REAL CALLS
10/06/2021;0.0;2748.0
11/06/2021;0.0;2514.0
12/06/2021;0.0;316.0
13/06/2021;0.0;98.0
14/06/2021;0.0;3597.0
15/06/2021;0.0;3149.0
16/06/2021;0.0;2815.0
17/06/2021;0.0;2688.0
18/06/2021;0.0;2330.0
19/06/2021;0.0;280.0
20/06/2021;0.0;91.0
21/06/2021;0.0;3757.0
22/06/2021;0.0;3270.0
23/06/2021;0.0;2957.0
24/06/2021;0.0;2739.0
25/06/2021;0.0;2489.0
26/06/2021;0.0;348.0
27/06/2021;0.0;72.0
28/06/2021;0.0;3510.0
29/06/2021;0.0;3049.0
30/06/2021;0.0;2925.0
1/07/2021;0.0;2656.0
2/07/2021;0.0;2339.0
3/07/2021;0.0;275.0
4/07/2021;1.0;102.0
5/07/2021;2.0;1019.0
6/07/2021;0.0;3474.0
7/07/2021;0.0;3204.0
8/07/2021;0.0;3016.0
9/07/2021;0.0;2734.0
10/07/2021;0.0;343.0
11/07/2021;0.0;140.0
12/07/2021;0.0;3763.0
13/07/2021;0.0;3227.0
14/07/2021;0.0;3098.0
15/07/2021;0.0;2853.0
16/07/2021;0.0;2523.0
17/07/2021;0.0;328.0
18/07/2021;0.0;120.0
19/07/2021;0.0;3421.0
20/07/2021;0.0;3083.0
21/07/2021;0.0;2902.0
22/07/2021;0.0;2766.0
23/07/2021;0.0;2351.0
24/07/2021;0.0;369.0
25/07/2021;0.0;137.0
26/07/2021;0.0;3381.0
27/07/2021;0.0;2969.0
28/07/2021;0.0;2860.0
29/07/2021;0.0;2879.0
30/07/2021;0.0;2572.0
31/07/2021;0.0;389.0
1/08/2021;0.0;133.0
2/08/2021;0.0;3697.0
3/08/2021;0.0;3353.0
4/08/2021;0.0;3136.0
5/08/2021;0.0;2882.0
6/08/2021;0.0;2619.0
7/08/2021;0.0;398.0
8/08/2021;0.0;151.0
9/08/2021;0.0;3873.0
10/08/2021;0.0;3388.0
11/08/2021;0.0;3075.0
12/08/2021;0.0;2904.0
13/08/2021;0.0;2615.0
14/08/2021;0.0;364.0
15/08/2021;0.0;140.0
16/08/2021;0.0;3588.0
17/08/2021;0.0;3279.0
18/08/2021;0.0;3040.0
19/08/2021;0.0;3031.0
20/08/2021;0.0;2640.0
21/08/2021;0.0;376.0
22/08/2021;0.0;177.0
23/08/2021;0.0;3767.0
24/08/2021;0.0;3344.0
25/08/2021;0.0;3237.0
26/08/2021;0.0;3014.0
27/08/2021;0.0;2587.0
28/08/2021;0.0;372.0
29/08/2021;0.0;127.0
30/08/2021;0.0;3948.0
31/08/2021;0.0;3376.0
1/09/2021;0.0;3534.0
2/09/2021;0.0;3070.0
3/09/2021;0.0;2570.0
4/09/2021;0.0;341.0
5/09/2021;0.0;98.0
6/09/2021;1.0;598.0
7/09/2021;0.0;4037.0
8/09/2021;0.0;3567.0
9/09/2021;0.0;3360.0
10/09/2021;0.0;2958.0
11/09/2021;0.0;356.0
12/09/2021;0.0;108.0
13/09/2021;0.0;3847.0
14/09/2021;0.0;3418.0
15/09/2021;0.0;2884.0
16/09/2021;0.0;2832.0
17/09/2021;0.0;2535.0
18/09/2021;0.0;292.0
19/09/2021;0.0;127.0
20/09/2021;0.0;3830.0
21/09/2021;0.0;3288.0
22/09/2021;0.0;3071.0
23/09/2021;0.0;2963.0
24/09/2021;0.0;2647.0
25/09/2021;0.0;280.0
26/09/2021;0.0;102.0
27/09/2021;0.0;4073.0
28/09/2021;0.0;3546.0
29/09/2021;0.0;3160.0
30/09/2021;0.0;3107.0
1/10/2021;0.0;2581.0
2/10/2021;0.0;296.0
3/10/2021;0.0;124.0
4/10/2021;0.0;3716.0
5/10/2021;0.0;3341.0
6/10/2021;0.0;3148.0
7/10/2021;0.0;3024.0
8/10/2021;0.0;2601.0
9/10/2021;0.0;287.0
10/10/2021;0.0;108.0
11/10/2021;0.0;3761.0
12/10/2021;0.0;3575.0
13/10/2021;0.0;3235.0
14/10/2021;0.0;3090.0
15/10/2021;0.0;2680.0
16/10/2021;0.0;336.0
17/10/2021;0.0;100.0
18/10/2021;0.0;3646.0
19/10/2021;0.0;3256.0
20/10/2021;0.0;3376.0
21/10/2021;0.0;2927.0
22/10/2021;0.0;2782.0
23/10/2021;0.0;351.0
24/10/2021;0.0;115.0
25/10/2021;0.0;3589.0
26/10/2021;0.0;3152.0
27/10/2021;0.0;3036.0
28/10/2021;0.0;2933.0
29/10/2021;0.0;2371.0
30/10/2021;0.0;315.0
31/10/2021;0.0;86.0
1/11/2021;0.0;3442.0
2/11/2021;0.0;3229.0
3/11/2021;0.0;2991.0
4/11/2021;0.0;2911.0
5/11/2021;0.0;2576.0
6/11/2021;0.0;307.0
7/11/2021;0.0;99.0
8/11/2021;0.0;3318.0
9/11/2021;0.0;3256.0
10/11/2021;0.0;3029.0
11/11/2021;1.0;2496.0
12/11/2021;0.0;2453.0
13/11/2021;0.0;313.0
14/11/2021;0.0;99.0
15/11/2021;0.0;3392.0
16/11/2021;0.0;2886.0
17/11/2021;0.0;2878.0
18/11/2021;0.0;2688.0
19/11/2021;0.0;2335.0
20/11/2021;0.0;292.0
21/11/2021;0.0;90.0
22/11/2021;0.0;2884.0
23/11/2021;0.0;2440.0
24/11/2021;0.0;2035.0
25/11/2021;1.0;102.0
26/11/2021;2.0;876.0
27/11/2021;0.0;241.0
28/11/2021;0.0;97.0
29/11/2021;0.0;3395.0
30/11/2021;0.0;3082.0
1/12/2021;0.0;2923.0
2/12/2021;0.0;2793.0
3/12/2021;0.0;2394.0
4/12/2021;0.0;325.0
5/12/2021;0.0;111.0
6/12/2021;0.0;3524.0
7/12/2021;0.0;2974.0
8/12/2021;0.0;2769.0
9/12/2021;0.0;2727.0
10/12/2021;0.0;2551.0
11/12/2021;0.0;348.0
12/12/2021;0.0;117.0
13/12/2021;0.0;3653.0
14/12/2021;0.0;3139.0
15/12/2021;0.0;2878.0
16/12/2021;0.0;2523.0
17/12/2021;0.0;2248.0
18/12/2021;0.0;330.0
19/12/2021;0.0;118.0
20/12/2021;0.0;2828.0
21/12/2021;0.0;2596.0
22/12/2021;0.0;2373.0
23/12/2021;2.0;2005.0
24/12/2021;2.0;593.0
25/12/2021;1.0;130.0
26/12/2021;0.0;227.0
27/12/2021;0.0;3142.0
28/12/2021;0.0;2913.0
29/12/2021;0.0;2655.0
30/12/2021;0.0;2432.0
31/12/2021;0.0;787.0
1/01/2022;1.0;275.0
2/01/2022;0.0;265.0
3/01/2022;0.0;4498.0
4/01/2022;0.0;3765.0
5/01/2022;0.0;3805.0
6/01/2022;0.0;3113.0
7/01/2022;0.0;2992.0
8/01/2022;0.0;491.0
9/01/2022;0.0;210.0
10/01/2022;0.0;4619.0
11/01/2022;0.0;3600.0
12/01/2022;0.0;3676.0
13/01/2022;0.0;3481.0
14/01/2022;0.0;3296.0
15/01/2022;0.0;457.0
16/01/2022;0.0;128.0
17/01/2022;1.0;3054.0
18/01/2022;0.0;3489.0
19/01/2022;0.0;3279.0
20/01/2022;0.0;3201.0
21/01/2022;0.0;2798.0
22/01/2022;0.0;371.0
23/01/2022;0.0;98.0
24/01/2022;0.0;3957.0
25/01/2022;0.0;3463.0
26/01/2022;0.0;3376.0
27/01/2022;0.0;3262.0
28/01/2022;0.0;2778.0
29/01/2022;0.0;311.0
30/01/2022;0.0;95.0
31/01/2022;0.0;3804.0
1/02/2022;0.0;3799.0
2/02/2022;0.0;3697.0
3/02/2022;0.0;3593.0
4/02/2022;0.0;3193.0
5/02/2022;0.0;344.0
6/02/2022;0.0;114.0
7/02/2022;0.0;4564.0
8/02/2022;0.0;3764.0
9/02/2022;0.0;3529.0
10/02/2022;0.0;3403.0
